plate,brand,model,projectId,projectName,workshopName,technicianName,priority,status,category,description,symptoms,reportedAt,assignedAt,acceptedAt,startedAt,completedAt,dueDate,locationLabel,cost
"อฮ-4059","Nissan","Almera","100","จุดบริการลูกค้า 0","อู่ใหญ่บางซื่อ","ช่างสมปอง","urgent","awaiting_qa","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-15T00:00:00Z","2026-05-15T00:27:00Z","2026-05-15T00:35:00Z","2026-05-15T01:03:00Z","","2026-06-08T00:00:00Z","ช่องด่วน",""
"ธต-9357","Ford","Everest","101","จุดบริการลูกค้า 1","อู่ช่างนิวรังสิต","ช่างนิว","normal","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-06-01T00:00:00Z","2026-06-01T00:27:00Z","2026-06-01T00:38:00Z","2026-06-01T00:48:00Z","2026-06-01T13:35:00Z","2026-06-03T00:48:00Z","ช่อง 4","2400"
"ฎธ-1411","Isuzu","D-Max","102","จุดบริการลูกค้า 2","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","awaiting_qa","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-06-04T00:00:00Z","2026-06-04T00:11:00Z","2026-06-04T00:22:00Z","2026-06-04T00:43:00Z","","2026-06-02T00:00:00Z","ห้องเครื่อง",""
"งศ-3200","Mazda","BT-50","103","จุดบริการลูกค้า 3","อู่ช่างวิทย์ปทุม","ช่างวิทย์","normal","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-29T00:00:00Z","2026-05-29T00:25:00Z","2026-05-29T00:39:00Z","2026-05-29T01:08:00Z","2026-06-02T01:08:00Z","2026-06-01T01:08:00Z","ช่อง 3","9900"
"สท-4954","Toyota","Hilux Revo","104","จุดบริการลูกค้า 4","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-23T00:00:00Z","2026-05-23T00:18:00Z","2026-05-23T00:27:00Z","2026-05-23T00:42:00Z","2026-05-24T22:58:00Z","2026-05-25T00:42:00Z","ช่องด่วน","7800"
"ฑศ-8817","Mitsubishi","Xpander","105","จุดบริการลูกค้า 5","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-16T00:00:00Z","2026-05-16T00:54:00Z","2026-05-16T01:03:00Z","2026-05-16T01:31:00Z","2026-05-16T04:38:00Z","2026-05-18T01:31:00Z","ช่องด่วน","9100"
"ฏฝ-6098","Ford","Everest","106","จุดบริการลูกค้า 6","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-31T00:00:00Z","2026-05-31T00:10:00Z","2026-05-31T00:18:00Z","2026-05-31T00:35:00Z","2026-06-01T21:28:00Z","2026-06-04T00:35:00Z","ช่อง 2","7300"
"ดว-8027","Honda","City","107","จุดบริการลูกค้า 7","อู่ใหญ่บางซื่อ","ช่างสมชาย","normal","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-27T00:00:00Z","2026-05-27T00:34:00Z","2026-05-27T00:41:00Z","2026-05-27T01:07:00Z","2026-05-27T09:10:00Z","2026-05-29T01:07:00Z","ลาน 2","3900"
"ตง-5096","Mazda","BT-50","108","จุดบริการลูกค้า 8","อู่ใหญ่บางซื่อ","ช่างสมชาย","urgent","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-06-03T00:00:00Z","2026-06-03T00:55:00Z","2026-06-03T01:04:00Z","2026-06-03T01:25:00Z","2026-06-05T01:09:00Z","2026-06-08T01:25:00Z","ช่อง 1","5900"
"ทญ-3590","Toyota","Camry","109","จุดบริการลูกค้า 9","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-26T00:00:00Z","2026-05-26T00:50:00Z","2026-05-26T01:01:00Z","2026-05-26T01:21:00Z","2026-05-26T13:52:00Z","2026-05-29T01:21:00Z","ช่อง 1","7300"
