plate,brand,model,teamName,technicianName,priority,status,category,description,symptoms,locationLabel,latitude,longitude,cost,reportedAt,assignedAt,startedAt,completedAt,dueDate
ชบ-1914,Toyota,Fortuner,ทีม E (ภาคอีสาน),ช่างวิชัย,normal,waiting_parts,เครื่องยนต์,แบตเตอรี่เสื่อม ไฟไม่พอสตาร์ท,ไฟหน้าปัดโชว์,สี่แยกปฐมพร ชุมพร,10.480362,99.187147,0,2026-02-23T18:45:29.315Z,2026-02-23T22:23:19.315Z,2026-02-24T01:05:05.324Z,,2026-02-28T08:13:12.161Z
ขก-7065,Isuzu,Elf,ทีม C (ภาคตะวันออก),ช่างวิชัย,normal,completed,ตัวถัง,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,ลานจอดรถ บิ๊กซี พระราม 4,13.726275,100.575147,4428,2026-01-20T16:30:38.582Z,2026-01-20T19:12:58.463Z,2026-01-21T02:54:50.595Z,2026-01-22T14:45:54.194Z,2026-01-25T00:28:50.869Z
ชร-1518,Ford,Ranger,ทีม D (ภาคใต้),ช่างวิชัย,urgent,completed,ระบบไฟฟ้า,ความร้อนขึ้นสูง หม้อน้ำรั่ว,เกจความร้อนขึ้น H,มอเตอร์เวย์ ขาออก กม. 45,13.540808,100.998310,6362,2026-03-15T07:10:51.580Z,2026-03-15T10:37:44.596Z,2026-03-15T17:54:05.589Z,2026-03-16T14:30:15.489Z,2026-03-21T08:02:37.668Z
นว-3499,Ford,Ranger,ทีม A (กรุงเทพฯ),ช่างสุชาติ,low,completed,ระบบไฟฟ้า,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,จุดพักรถ ปตท. อยุธยา,14.243052,100.617238,3987,2026-04-03T04:32:38.778Z,2026-04-03T07:59:34.844Z,2026-04-03T15:37:21.481Z,2026-04-04T10:47:35.566Z,2026-04-06T15:34:37.881Z
ขก-4902,Nissan,Navara,ทีม A (กรุงเทพฯ),ช่างมานะ,normal,completed,เครื่องยนต์,ระบบไฟหน้าช็อต หลอดขาดหมด,ไฟส่องสว่างไม่ทำงาน,ถนนมิตรภาพ โคราช,14.967868,102.105571,6939,2026-05-27T19:05:55.311Z,2026-05-27T23:02:02.188Z,2026-05-28T02:16:24.465Z,2026-05-29T19:03:04.461Z,2026-05-31T23:52:13.768Z
ชบ-3613,Nissan,Navara,ทีม E (ภาคอีสาน),ช่างมานะ,normal,completed,เบรก,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,จุดพักรถ ปตท. อยุธยา,14.227393,100.615966,1716,2025-12-24T17:33:17.506Z,2025-12-24T20:57:11.563Z,2025-12-25T02:14:02.213Z,2025-12-26T11:50:02.986Z,2025-12-29T20:36:08.942Z
ชร-5063,Ford,Everest,ทีม E (ภาคอีสาน),ช่างมานะ,high,completed,เบรก,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,มอเตอร์เวย์ ขาออก กม. 45,13.515033,100.981256,7664,2026-03-16T14:52:42.854Z,2026-03-16T16:03:34.169Z,2026-03-16T22:18:56.312Z,2026-03-18T19:22:55.207Z,2026-03-20T14:43:39.180Z
ชบ-8757,Mitsubishi,Triton,ทีม B (ภาคเหนือ),ช่างศักดิ์ชัย,normal,completed,ระบบไฟฟ้า,แอร์ไม่เย็น คอมเพรสเซอร์ไม่ตัด,ลมร้อน,นิคมอุตสาหกรรมแหลมฉบัง,13.093543,100.900734,4032,2026-02-14T18:39:40.227Z,2026-02-14T20:32:04.906Z,2026-02-14T23:24:14.675Z,2026-02-16T15:22:58.520Z,2026-02-19T08:36:38.807Z
ขก-2389,Nissan,Navara,ทีม B (ภาคเหนือ),ช่างสมชาย,low,completed,เบรก,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,นิคมอุตสาหกรรมบางปู,13.515938,100.650373,6275,2026-04-23T17:14:47.000Z,2026-04-23T19:04:33.819Z,2026-04-24T01:24:16.420Z,2026-04-25T03:14:48.312Z,2026-04-29T07:11:37.090Z
ชบ-8815,Mitsubishi,Triton,ทีม A (กรุงเทพฯ),ช่างสุชาติ,normal,completed,ช่วงล่าง,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,ถนนมิตรภาพ โคราช,15.000683,102.113374,6024,2026-02-10T01:59:42.180Z,2026-02-10T04:28:53.193Z,2026-02-10T08:38:56.459Z,2026-02-12T05:36:15.466Z,2026-02-16T02:20:21.841Z
