plate,brand,model,projectId,projectName,workshopName,technicianName,priority,status,category,description,symptoms,reportedAt,assignedAt,acceptedAt,startedAt,completedAt,dueDate,locationLabel,cost
กท-1234,Toyota,Hilux Revo,101,จุดบริการหมอชิต,อู่ใหญ่บางซื่อ,ช่างสมชาย,high,completed,ระบบปรับอากาศ,แอร์ไม่เย็น,"แอร์ไม่เย็น",2026-05-01T09:00:00Z,2026-05-01T09:15:00Z,2026-05-01T09:20:00Z,2026-05-01T10:30:00Z,2026-05-01T14:00:00Z,2026-05-02T16:00:00Z,ช่อง 1,1200
กท-1234,Toyota,Hilux Revo,101,จุดบริการหมอชิต,อู่ใหญ่บางซื่อ,ช่างสมชาย,normal,completed,บำรุงรักษาทั่วไป,"เช็คระยะ 100,000 กม.",,2026-05-10T08:00:00Z,2026-05-10T08:10:00Z,2026-05-10T08:15:00Z,2026-05-10T08:30:00Z,2026-05-10T11:00:00Z,2026-05-10T15:00:00Z,ช่อง 1,2500
ขข-9999,Honda,Civic,102,จุดสายใต้,ศูนย์ฮอนด้าลาดพร้าว,ช่างเอก,normal,completed,บำรุงรักษาทั่วไป,"เช็คระยะ 50,000 กม.",เครื่องสั่น,2026-05-15T10:30:00Z,2026-05-15T10:35:00Z,2026-05-15T10:40:00Z,2026-05-15T11:00:00Z,2026-05-15T15:00:00Z,2026-05-15T17:00:00Z,ลาน 4,3000
ฮฮ-5555,Isuzu,D-Max,103,จุดรังสิต,อู่ช่างวิทย์ปทุม,ช่างวิทย์,urgent,completed,ระบบเบรก,เบรกไม่อยู่เหยียบแล้วจม,"เบรกจม,มีเสียงดัง",2026-05-20T14:20:00Z,2026-05-20T14:30:00Z,2026-05-20T14:40:00Z,2026-05-20T15:00:00Z,2026-05-25T17:00:00Z,2026-05-21T17:00:00Z,ช่องด่วน,4500
กก-8888,Ford,Ranger,104,จุดบางนา,อู่ช่างวิทย์ปทุม,ช่างวิทย์,urgent,completed,ระบบเครื่องยนต์,เครื่องยนต์สั่นแรง,"สั่นแรง,เร่งไม่ขึ้น",2026-05-22T09:00:00Z,2026-05-22T09:10:00Z,2026-05-22T09:15:00Z,2026-05-22T10:00:00Z,2026-05-26T11:00:00Z,2026-05-23T12:00:00Z,ห้องเครื่อง,15000
จจ-1111,Nissan,Navara,105,จุดพระราม2,อู่ใหญ่บางซื่อ,ช่างสมปอง,high,completed,ระบบช่วงล่าง,โช้คอัพรั่ว,"เสียงดังเวลาตกหลุม",2026-05-28T08:00:00Z,2026-05-28T08:10:00Z,2026-05-28T08:15:00Z,2026-05-28T08:30:00Z,2026-05-28T14:00:00Z,2026-05-29T12:00:00Z,ช่อง 3,8500
จจ-1111,Nissan,Navara,105,จุดพระราม2,อู่ใหญ่บางซื่อ,ช่างสมปอง,normal,completed,บำรุงรักษาทั่วไป,เปลี่ยนถ่ายน้ำมันเครื่อง,,2026-05-29T08:00:00Z,2026-05-29T08:10:00Z,2026-05-29T08:15:00Z,2026-05-29T08:30:00Z,2026-05-29T10:00:00Z,2026-05-29T12:00:00Z,ช่อง 3,1500
ชช-2222,Mitsubishi,Triton,106,จุดปิ่นเกล้า,อู่ช่างนิวรังสิต,ช่างนิว,normal,in_progress,ระบบไฟ,ไฟหน้าขวาไม่ติด,"ไฟไม่ติด",2026-06-04T10:00:00Z,2026-06-04T10:15:00Z,2026-06-04T10:20:00Z,2026-06-04T11:00:00Z,,2026-06-06T17:00:00Z,ลานจอด,
ฎฎ-3333,Mazda,BT-50,107,จุดมีนบุรี,อู่ช่างวิทย์ปทุม,ช่างวิทย์,urgent,blocked,ระบบเกียร์,เกียร์กระตุก รออะไหล่,"เกียร์กระตุก",2026-05-29T09:00:00Z,2026-05-29T09:15:00Z,2026-05-29T09:20:00Z,2026-05-29T10:30:00Z,,2026-06-01T12:00:00Z,ช่อง 2,
ญญ-4444,Toyota,Fortuner,108,จุดสุวรรณภูมิ,อู่ใหญ่บางซื่อ,ช่างสมชาย,high,in_progress,บำรุงรักษาทั่วไป,เช็คระยะ 200,000 กม.,,2026-06-04T08:00:00Z,2026-06-04T08:15:00Z,2026-06-04T08:20:00Z,2026-06-04T09:00:00Z,,2026-06-05T15:00:00Z,ช่อง 1,
